"citation.ID","n_potential_records","n_variables","variables_represented","sites_represented","n_pot_dup_sites","forestGEO_sites","GROA_study","tropical","prioritized_variable","review_priority_score","ready_to_rerun_and_send","notes"
"Weaver_2001_ntfc",7,2,"biomass_ag, ANPP_litterfall_1",1,0,0,0,7,5,19,NA,""
"Giese_2000_satp",6,2,"biomass_ag_understory, biomass_ag",1,0,0,6,6,3,18,NA,""
"Grimm_1999_ntfs",8,8,"BNPP_root_fine, biomass_ag_foliage, biomass_ag_woody, biomass_root_coarse, biomass_root_fine, biomass_ag, biomass, biomass_root",1,0,0,0,8,2,18,NA,""
"Kutsch_2005_shoe",18,6,"ANPP_woody_stem, ANPP_woody_branch, ANPP_woody, BNPP_root_coarse, BNPP_root_fine, BNPP_root",3,0,0,0,0,0,18,NA,""
"Martins_2012_eofo",6,2,"biomass_ag, biomass_ag_understory",1,0,0,6,6,3,18,NA,""
"Nakane_1997_scca",14,7,"R_het_litter, BNPP_root, BNPP_root_fine, biomass_ag, biomass_root, biomass_root_coarse, biomass_root_fine",1,0,0,0,0,4,18,NA,""
"Noh_2013_cand",14,7,"BNPP_root, biomass, biomass_ag, biomass_root, biomass_root_coarse, biomass_root_fine, soil",1,0,0,0,0,4,18,NA,""
"Noormets_2010_rocf",6,2,"biomass_ag, biomass_root",1,0,0,0,6,6,18,NA,""
"Pannatier_2012_rocf",18,3,"biomass_root_fine, BNPP_root, BNPP_root_fine",3,0,0,0,0,0,18,NA,""
"Srivastava_1995_baep",6,1,"biomass_ag",2,0,0,0,6,6,18,NA,""
"Vincent_2006_sasv",18,2,"BNPP_root_fine, biomass_root_fine",9,0,0,0,0,0,18,NA,""
"Wang_2011_eoft",6,1,"biomass_root",1,0,0,0,6,6,18,NA,""
"Vester_1998_taas",5,1,"biomass_ag",1,0,0,5,5,5,17.5,NA,""
"Arevalo_2011_luce",12,6,"biomass, biomass_ag, biomass_root, biomass_root_coarse, biomass_root_fine, soil",1,0,0,0,0,4,16,NA,""
"Burton_2004_scnd",16,1,"biomass_root_fine",4,0,0,0,0,0,16,NA,""
"Chen_2015_csaa",6,3,"biomass, biomass_root, biomass_ag_understory",1,0,0,6,6,1,16,NA,""
