"measurement.ID","citation_ID","EFDB_export_form_name","date_generated"
17572,"Chave_2008_aepa","n_16_Chave_2008_aepa.xlsm","18885"
17573,"Chave_2008_aepa","n_16_Chave_2008_aepa.xlsm","18885"
17574,"Chave_2008_aepa","n_16_Chave_2008_aepa.xlsm","18885"
17576,"Chave_2008_aepa","n_16_Chave_2008_aepa.xlsm","18885"
17581,"Chave_2008_aepa","n_16_Chave_2008_aepa.xlsm","18885"
48975,"Chave_2008_aepa","n_16_Chave_2008_aepa.xlsm","18885"
48977,"Chave_2008_aepa","n_16_Chave_2008_aepa.xlsm","18885"
35522,"Manlay_2002_cnap","n_17_Manlay_2002_cnap.xlsm","18885"
35523,"Manlay_2002_cnap","n_17_Manlay_2002_cnap.xlsm","18885"
35524,"Manlay_2002_cnap","n_17_Manlay_2002_cnap.xlsm","18885"
35525,"Manlay_2002_cnap","n_17_Manlay_2002_cnap.xlsm","18885"
35526,"Manlay_2002_cnap","n_17_Manlay_2002_cnap.xlsm","18885"
35527,"Manlay_2002_cnap","n_17_Manlay_2002_cnap.xlsm","18885"
35528,"Manlay_2002_cnap","n_17_Manlay_2002_cnap.xlsm","18885"
35529,"Manlay_2002_cnap","n_17_Manlay_2002_cnap.xlsm","18885"
35530,"Manlay_2002_cnap","n_17_Manlay_2002_cnap.xlsm","18885"
35531,"Manlay_2002_cnap","n_17_Manlay_2002_cnap.xlsm","18885"
35532,"Manlay_2002_cnap","n_17_Manlay_2002_cnap.xlsm","18885"
35533,"Manlay_2002_cnap","n_17_Manlay_2002_cnap.xlsm","18885"
35534,"Manlay_2002_cnap","n_17_Manlay_2002_cnap.xlsm","18885"
35535,"Manlay_2002_cnap","n_17_Manlay_2002_cnap.xlsm","18885"
35536,"Manlay_2002_cnap","n_17_Manlay_2002_cnap.xlsm","18885"
35537,"Manlay_2002_cnap","n_17_Manlay_2002_cnap.xlsm","18885"
35538,"Manlay_2002_cnap","n_17_Manlay_2002_cnap.xlsm","18885"
1224,"Meakem_2018_rots","n_21_Meakem_2018_rots.xlsm","18885"
1225,"Meakem_2018_rots","n_21_Meakem_2018_rots.xlsm","18885"
1226,"Meakem_2018_rots","n_21_Meakem_2018_rots.xlsm","18885"
1227,"Meakem_2018_rots","n_21_Meakem_2018_rots.xlsm","18885"
1228,"Meakem_2018_rots","n_21_Meakem_2018_rots.xlsm","18885"
1229,"Meakem_2018_rots","n_21_Meakem_2018_rots.xlsm","18885"
1230,"Meakem_2018_rots","n_21_Meakem_2018_rots.xlsm","18885"
1235,"Meakem_2018_rots","n_21_Meakem_2018_rots.xlsm","18885"
3515,"Meakem_2018_rots","n_21_Meakem_2018_rots.xlsm","18885"
3516,"Meakem_2018_rots","n_21_Meakem_2018_rots.xlsm","18885"
3517,"Meakem_2018_rots","n_21_Meakem_2018_rots.xlsm","18885"
3518,"Meakem_2018_rots","n_21_Meakem_2018_rots.xlsm","18885"
13003,"Meakem_2018_rots","n_21_Meakem_2018_rots.xlsm","18885"
13005,"Meakem_2018_rots","n_21_Meakem_2018_rots.xlsm","18885"
13007,"Meakem_2018_rots","n_21_Meakem_2018_rots.xlsm","18885"
13009,"Meakem_2018_rots","n_21_Meakem_2018_rots.xlsm","18885"
13010,"Meakem_2018_rots","n_21_Meakem_2018_rots.xlsm","18885"
13011,"Meakem_2018_rots","n_21_Meakem_2018_rots.xlsm","18885"
13012,"Meakem_2018_rots","n_21_Meakem_2018_rots.xlsm","18885"
13013,"Meakem_2018_rots","n_21_Meakem_2018_rots.xlsm","18885"
13014,"Meakem_2018_rots","n_21_Meakem_2018_rots.xlsm","18885"
13540,"Gonzalez-Akre_2016_potm","n_3_Gonzalez-Akre_2016_potm.xlsm","18885"
13542,"Gonzalez-Akre_2016_potm","n_3_Gonzalez-Akre_2016_potm.xlsm","18885"
13543,"Gonzalez-Akre_2016_potm","n_3_Gonzalez-Akre_2016_potm.xlsm","18885"
17398,"Lutz_2018_giol","n_3_Lutz_2018_giol.xlsm","18885"
17418,"Lutz_2018_giol","n_3_Lutz_2018_giol.xlsm","18885"
17436,"Lutz_2018_giol","n_3_Lutz_2018_giol.xlsm","18885"
140,"Ma_2012_rdri","n_438_Ma_2012_rdri.xlsm","18885"
141,"Ma_2012_rdri","n_438_Ma_2012_rdri.xlsm","18885"
142,"Ma_2012_rdri","n_438_Ma_2012_rdri.xlsm","18885"
143,"Ma_2012_rdri","n_438_Ma_2012_rdri.xlsm","18885"
144,"Ma_2012_rdri","n_438_Ma_2012_rdri.xlsm","18885"
145,"Ma_2012_rdri","n_438_Ma_2012_rdri.xlsm","18885"
146,"Ma_2012_rdri","n_438_Ma_2012_rdri.xlsm","18885"
147,"Ma_2012_rdri","n_438_Ma_2012_rdri.xlsm","18885"
148,"Ma_2012_rdri","n_438_Ma_2012_rdri.xlsm","18885"
149,"Ma_2012_rdri","n_438_Ma_2012_rdri.xlsm","18885"
150,"Ma_2012_rdri","n_438_Ma_2012_rdri.xlsm","18885"
151,"Ma_2012_rdri","n_438_Ma_2012_rdri.xlsm","18885"
152,"Ma_2012_rdri","n_438_Ma_2012_rdri.xlsm","18885"
153,"Ma_2012_rdri","n_438_Ma_2012_rdri.xlsm","18885"
154,"Ma_2012_rdri","n_438_Ma_2012_rdri.xlsm","18885"
155,"Ma_2012_rdri","n_438_Ma_2012_rdri.xlsm","18885"
156,"Ma_2012_rdri","n_438_Ma_2012_rdri.xlsm","18885"
157,"Ma_2012_rdri","n_438_Ma_2012_rdri.xlsm","18885"
158,"Ma_2012_rdri","n_438_Ma_2012_rdri.xlsm","18885"
159,"Ma_2012_rdri","n_438_Ma_2012_rdri.xlsm","18885"
160,"Ma_2012_rdri","n_438_Ma_2012_rdri.xlsm","18885"
161,"Ma_2012_rdri","n_438_Ma_2012_rdri.xlsm","18885"
162,"Ma_2012_rdri","n_438_Ma_2012_rdri.xlsm","18885"
163,"Ma_2012_rdri","n_438_Ma_2012_rdri.xlsm","18885"
164,"Ma_2012_rdri","n_438_Ma_2012_rdri.xlsm","18885"
165,"Ma_2012_rdri","n_438_Ma_2012_rdri.xlsm","18885"
166,"Ma_2012_rdri","n_438_Ma_2012_rdri.xlsm","18885"
167,"Ma_2012_rdri","n_438_Ma_2012_rdri.xlsm","18885"
168,"Ma_2012_rdri","n_438_Ma_2012_rdri.xlsm","18885"
169,"Ma_2012_rdri","n_438_Ma_2012_rdri.xlsm","18885"
170,"Ma_2012_rdri","n_438_Ma_2012_rdri.xlsm","18885"
171,"Ma_2012_rdri","n_438_Ma_2012_rdri.xlsm","18885"
172,"Ma_2012_rdri","n_438_Ma_2012_rdri.xlsm","18885"
173,"Ma_2012_rdri","n_438_Ma_2012_rdri.xlsm","18885"
174,"Ma_2012_rdri","n_438_Ma_2012_rdri.xlsm","18885"
175,"Ma_2012_rdri","n_438_Ma_2012_rdri.xlsm","18885"
176,"Ma_2012_rdri","n_438_Ma_2012_rdri.xlsm","18885"
177,"Ma_2012_rdri","n_438_Ma_2012_rdri.xlsm","18885"
178,"Ma_2012_rdri","n_438_Ma_2012_rdri.xlsm","18885"
179,"Ma_2012_rdri","n_438_Ma_2012_rdri.xlsm","18885"
180,"Ma_2012_rdri","n_438_Ma_2012_rdri.xlsm","18885"
181,"Ma_2012_rdri","n_438_Ma_2012_rdri.xlsm","18885"
182,"Ma_2012_rdri","n_438_Ma_2012_rdri.xlsm","18885"
183,"Ma_2012_rdri","n_438_Ma_2012_rdri.xlsm","18885"
184,"Ma_2012_rdri","n_438_Ma_2012_rdri.xlsm","18885"
185,"Ma_2012_rdri","n_438_Ma_2012_rdri.xlsm","18885"
186,"Ma_2012_rdri","n_438_Ma_2012_rdri.xlsm","18885"
187,"Ma_2012_rdri","n_438_Ma_2012_rdri.xlsm","18885"
188,"Ma_2012_rdri","n_438_Ma_2012_rdri.xlsm","18885"
189,"Ma_2012_rdri","n_438_Ma_2012_rdri.xlsm","18885"
190,"Ma_2012_rdri","n_438_Ma_2012_rdri.xlsm","18885"
191,"Ma_2012_rdri","n_438_Ma_2012_rdri.xlsm","18885"
192,"Ma_2012_rdri","n_438_Ma_2012_rdri.xlsm","18885"
193,"Ma_2012_rdri","n_438_Ma_2012_rdri.xlsm","18885"
194,"Ma_2012_rdri","n_438_Ma_2012_rdri.xlsm","18885"
195,"Ma_2012_rdri","n_438_Ma_2012_rdri.xlsm","18885"
196,"Ma_2012_rdri","n_438_Ma_2012_rdri.xlsm","18885"
