C.pool,n_data_submitted,EFDB_entry_form,dates_sent_yyyymmdd,Full.Technical.Reference,n_in_EFDB,notes,excluded
Classified otherwise (OTH),7,n_9_Feldpausch_2004_cana,20211012,"Feldpausch, T. R., Rondon, M. A., Fernandes, E. C. M., Riha, S. J., & Wandelli, E. (2004). CARBON AND NUTRIENT ACCUMULATION IN SECONDARY FORESTS REGENERATING ON PASTURES IN CENTRAL AMAZONIA. Ecological Applications, 14(sp4), 164-176. doi:10.1890/01-6015",7-,EFDB has 8 of 9 records for this pub,
Classified otherwise (OTH),1,n_1_Helcoski_2019_gsmd,20211108,"Helcoski, R., Tepley, A. J., Pederson, N., McGarvey, J. C., Meakem, V., Herrmann, V., ... Anderson-Teixeira, K. J. (2019). Growing season moisture drives interannual variation in woody productivity of a temperate deciduous forest. New Phytologist, 223(3), 1204-1216. doi:10.1111/nph.15906",1,,
Soil organic matter - mineral soils [SOM mineral] (OMM),16,n_16_Litton_2003_scde,20211108,"LITTON, C. M., RYAN, M. G., KNIGHT, D. H., & STAHL, P. D. (2003). Soil-surface carbon dioxide efflux and microbial biomass in relation to tree density 13 years after a stand replacing fire in a lodgepole pine ecosystem. Global Change Biology, 9(5), 680-696. doi:10.1046/j.1365-2486.2003.00626.x",16,,
Classified otherwise (OTH),16,n_16_Wirth_2002_babc,20211108,"Wirth, C., Czimczik, C. I., & Schulze, E.-D. (2002). Beyond annual budgets: carbon flux at different temporal scales in fire-prone Siberian Scots pine forests. Tellus B: Chemical and Physical Meteorology, 54(5), 611-630. doi:10.3402/tellusb.v54i5.16690",4,"ANPP, re-classified as AGB","moderately, heavily burned sites (doesn't fit their classification)"
Above-ground biomass [AGB] (AGB),12,n_24_Litton_2003_baab,20211108,"Litton, C. M., Ryan, M. G., Tinker, D. B., & Knight, D. H. (2003). Belowground and aboveground biomass in young postfire lodgepole pine forests of contrasting tree density. Canadian Journal of Forest Research, 33(2), 351-363. doi:10.1139/x02-181",,,
Below-ground biomass [BGB] (BGB),12,n_24_Litton_2003_baab,20211108,"Litton, C. M., Ryan, M. G., Tinker, D. B., & Knight, D. H. (2003). Belowground and aboveground biomass in young postfire lodgepole pine forests of contrasting tree density. Canadian Journal of Forest Research, 33(2), 351-363. doi:10.1139/x02-181",,,
Above-ground biomass [AGB] (AGB),4,n_44_Litton_2004_eotd,20211108,"Litton, C. M., Ryan, M. G., & Knight, D. H. (2004). EFFECTS OF TREE DENSITY AND STAND AGE ON CARBON ALLOCATION PATTERNS IN POSTFIRE LODGEPOLE PINE. Ecological Applications, 14(2), 460-475. doi:10.1890/02-5291",,,
Below-ground biomass [BGB] (BGB),8,n_44_Litton_2004_eotd,20211108,"Litton, C. M., Ryan, M. G., & Knight, D. H. (2004). EFFECTS OF TREE DENSITY AND STAND AGE ON CARBON ALLOCATION PATTERNS IN POSTFIRE LODGEPOLE PINE. Ecological Applications, 14(2), 460-475. doi:10.1890/02-5291",,,
Classified otherwise (OTH),20,n_44_Litton_2004_eotd,20211108,"Litton, C. M., Ryan, M. G., & Knight, D. H. (2004). EFFECTS OF TREE DENSITY AND STAND AGE ON CARBON ALLOCATION PATTERNS IN POSTFIRE LODGEPOLE PINE. Ecological Applications, 14(2), 460-475. doi:10.1890/02-5291",,,
Dead wood [DW] (DWD),4,n_44_Litton_2004_eotd,20211108,"Litton, C. M., Ryan, M. G., & Knight, D. H. (2004). EFFECTS OF TREE DENSITY AND STAND AGE ON CARBON ALLOCATION PATTERNS IN POSTFIRE LODGEPOLE PINE. Ecological Applications, 14(2), 460-475. doi:10.1890/02-5291",,,
Litter [L] (LIT),4,n_44_Litton_2004_eotd,20211108,"Litton, C. M., Ryan, M. G., & Knight, D. H. (2004). EFFECTS OF TREE DENSITY AND STAND AGE ON CARBON ALLOCATION PATTERNS IN POSTFIRE LODGEPOLE PINE. Ecological Applications, 14(2), 460-475. doi:10.1890/02-5291",,,
Soil organic matter - mineral soils [SOM mineral] (OMM),4,n_44_Litton_2004_eotd,20211108,"Litton, C. M., Ryan, M. G., & Knight, D. H. (2004). EFFECTS OF TREE DENSITY AND STAND AGE ON CARBON ALLOCATION PATTERNS IN POSTFIRE LODGEPOLE PINE. Ecological Applications, 14(2), 460-475. doi:10.1890/02-5291",,,
Above-ground biomass [AGB] (AGB),20,n_60_Sharma_2010_tdac,20211108,"Sharma, C. M., Baduni, N. P., Gairola, S., Ghildiyal, S. K., & Suyal, S. (2010). Tree diversity and carbon stocks of some major forest types of Garhwal Himalaya, India. Forest Ecology and Management, 260(12), 2170-2179. doi:10.1016/j.foreco.2010.09.014",,,
